Entity,Code,Year,Fruit | 00002919 || Food available for consumption | 0645pc || kilograms per year per capita,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time,time,time
Afghanistan,AFG,2022,35.251335,1981.7102,Asia,2023,2022,2022
Albania,ALB,2022,200.93965,17111.953,Europe,2023,2022,2022
Algeria,DZA,2022,102.765945,14782.2,Africa,2023,2022,2022
Angola,AGO,2022,80.88536,7397.4863,Africa,2023,2022,2022
Antigua and Barbuda,ATG,2022,236.68721,27941.785,North America,2023,2022,2022
Argentina,ARG,2022,74.13684,27627.963,South America,2023,2022,2022
Armenia,ARM,2022,116.763374,17886.178,Asia,2023,2022,2022
Australia,AUS,2022,82.335846,59883.65,Oceania,2023,2022,2022
Austria,AUT,2022,145.73134,65661.45,Europe,2023,2022,2022
Azerbaijan,AZE,2022,95.055984,21051.244,Asia,2023,2022,2022
Bahamas,BHS,2022,312.4491,34342.79,North America,2023,2022,2022
Bahrain,BHR,2022,150.27986,57572.996,Asia,2023,2022,2022
Bangladesh,BGD,2022,31.016403,7888.164,Asia,2023,2022,2022
Barbados,BRB,2022,116.16374,18469.576,North America,2023,2022,2022
Belarus,BLR,2022,76.46054,26537.508,Europe,2023,2022,2022
Belgium,BEL,2022,99.04995,62744.203,Europe,2023,2022,2022
Belize,BLZ,2022,50.34416,12569.818,North America,2023,2022,2022
Benin,BEN,2022,42.641403,3588.3252,Africa,2023,2022,2022
Bhutan,BTN,2022,40.649956,14061.3125,Asia,2023,2022,2022
Bolivia,BOL,2022,86.73267,9681.707,South America,2023,2022,2022
Bosnia and Herzegovina,BIH,2022,178.85907,19297.072,Europe,2023,2022,2022
Botswana,BWA,2022,54.13908,18647.373,Africa,2023,2022,2022
Brazil,BRA,2022,104.612755,18554.047,South America,2023,2022,2022
Bulgaria,BGR,2022,72.60987,32433.15,Europe,2023,2022,2022
Burkina Faso,BFA,2022,58.666203,2466.0532,Africa,2023,2022,2022
Burundi,BDI,2022,73.77029,829.38715,Africa,2023,2022,2022
Cambodia,KHM,2022,14.572914,6458.368,Asia,2023,2022,2022
Cameroon,CMR,2022,96.53442,4843.6504,Africa,2023,2022,2022
Canada,CAN,2022,130.94057,58321.062,North America,2023,2022,2022
Cape Verde,CPV,2022,60.085327,8850.106,Africa,2023,2022,2022
Central African Republic,CAF,2022,55.046814,1136.8018,Africa,2023,2022,2022
Chad,TCD,2022,7.1737113,2655.71,Africa,2023,2022,2022
Chile,CHL,2022,65.19861,29569.479,South America,2023,2022,2022
China,CHN,2022,112.30575,21499.383,Asia,2023,2022,2022
Colombia,COL,2022,149.46208,18458.72,South America,2023,2022,2022
Comoros,COM,2022,102.48587,3478.1736,Africa,2023,2022,2022
Congo,COG,2022,42.93484,6205.105,Africa,2023,2022,2022
Costa Rica,CRI,2022,94.84357,24831.719,North America,2023,2022,2022
Cote d'Ivoire,CIV,2022,63.464275,6272.264,Africa,2023,2022,2022
Croatia,HRV,2022,102.63049,39861.79,Europe,2023,2022,2022
Cyprus,CYP,2022,88.42555,51588.445,Europe,2023,2022,2022
Czechia,CZE,2022,84.97866,48390.66,Europe,2023,2022,2022
Democratic Republic of Congo,COD,2022,55.54018,1385.4647,Africa,2023,2022,2022
Denmark,DNK,2022,130.48213,70233.64,Europe,2023,2022,2022
Djibouti,DJI,2022,33.15923,6180.68,Africa,2023,2022,2022
Dominica,DMA,2022,529.0617,17550.8,North America,2023,2022,2022
Dominican Republic,DOM,2022,402.30142,22986.959,North America,2023,2022,2022
East Timor,TLS,2022,21.393423,5347.008,Asia,2023,2022,2022
Ecuador,ECU,2022,70.09967,14186.639,South America,2023,2022,2022
Egypt,EGY,2022,78.91241,16360.391,Africa,2023,2022,2022
El Salvador,SLV,2022,88.65456,11085.618,North America,2023,2022,2022
Estonia,EST,2022,94.4679,43690.414,Europe,2023,2022,2022
Eswatini,SWZ,2022,79.51845,9955.709,Africa,2023,2022,2022
Ethiopia,ETH,2022,12.526502,2655.5928,Africa,2023,2022,2022
European Union (27),,2022,109.06172,53686.57,,2022,2022,2022
Fiji,FJI,2022,66.28733,12762.347,Oceania,2023,2022,2022
Finland,FIN,2022,111.95313,57068.305,Europe,2023,2022,2022
France,FRA,2022,124.24632,53691.617,Europe,2023,2022,2022
Gabon,GAB,2022,135.04932,18662.049,Africa,2023,2022,2022
Gambia,GMB,2022,6.815082,2863.1804,Africa,2023,2022,2022
Georgia,GEO,2022,64.53153,20966.527,Asia,2023,2022,2022
Germany,DEU,2022,97.73022,62931.97,Europe,2023,2022,2022
Ghana,GHA,2022,179.76447,6728.454,Africa,2023,2022,2022
Greece,GRC,2022,166.6984,35906.613,Europe,2023,2022,2022
Grenada,GRD,2022,160.61916,16386.463,North America,2023,2022,2022
Guatemala,GTM,2022,101.35747,12147.931,North America,2023,2022,2022
Guinea,GIN,2022,102.11735,3792.0107,Africa,2023,2022,2022
Guinea-Bissau,GNB,2022,50.540844,2564.424,Africa,2023,2022,2022
Guyana,GUY,2022,312.0002,37068.2,South America,2023,2022,2022
Haiti,HTI,2022,94.51406,3047.6519,North America,2023,2022,2022
High-income countries,,2022,117.7647,56725.566,,2022,2022,2022
Honduras,HND,2022,50.43006,6352.587,North America,2023,2022,2022
Hong Kong,HKG,2022,81.50976,64036.668,Asia,2023,2022,2022
Hungary,HUN,2022,85.45636,40656.97,Europe,2023,2022,2022
Iceland,ISL,2022,148.18237,65475.41,Europe,2023,2022,2022
India,IND,2022,64.80275,8594.392,Asia,2023,2022,2022
Indonesia,IDN,2022,82.37458,13334.266,Asia,2023,2022,2022
Iran,IRN,2022,130.57423,15331.333,Asia,2023,2022,2022
Iraq,IRQ,2022,57.537178,13433.397,Asia,2023,2022,2022
Ireland,IRL,2022,115.275604,124489.375,Europe,2023,2022,2022
Israel,ISR,2022,126.34371,48098.188,Asia,2023,2022,2022
Italy,ITA,2022,131.8114,52333.33,Europe,2023,2022,2022
Jamaica,JAM,2022,150.27441,10072.049,North America,2023,2022,2022
Japan,JPN,2022,44.712715,44972.344,Asia,2023,2022,2022
Jordan,JOR,2022,38.20019,9266.575,Asia,2023,2022,2022
Kazakhstan,KAZ,2022,73.37204,33506.26,Asia,2023,2022,2022
Kenya,KEN,2022,62.788548,5491.694,Africa,2023,2022,2022
Kiribati,KIR,2022,68.63066,3107.7761,Oceania,2023,2022,2022
Kuwait,KWT,2022,108.01664,51379.883,Asia,2023,2022,2022
Kyrgyzstan,KGZ,2022,33.41147,6139.778,Asia,2023,2022,2022
Laos,LAO,2022,121.54334,8183.0327,Asia,2023,2022,2022
Latvia,LVA,2022,65.139656,37681.047,Europe,2023,2022,2022
Lebanon,LBN,2022,94.475845,11474.751,Asia,2023,2022,2022
Lesotho,LSO,2022,22.240185,2577.5454,Africa,2023,2022,2022
Liberia,LBR,2022,37.5006,1578.9984,Africa,2023,2022,2022
Libya,LBY,2022,93.493034,11456.077,Africa,2023,2022,2022
Lithuania,LTU,2022,68.02582,46651.215,Europe,2023,2022,2022
Low-income countries,,2022,56.33229,2291.6523,,2022,2022,2022
Lower-middle-income countries,,2022,64.67953,8042.731,,2022,2022,2022
Luxembourg,LUX,2022,154.33798,132574,Europe,2023,2022,2022
Macao,MAC,2022,69.77755,60089.832,Asia,2023,2022,2022
Madagascar,MDG,2022,37.49468,1602.7136,Africa,2023,2022,2022
Malawi,MWI,2022,165.75261,1659.9594,Africa,2023,2022,2022
Malaysia,MYS,2022,66.6821,32079.152,Asia,2023,2022,2022
Maldives,MDV,2022,175.17097,21357.81,Asia,2023,2022,2022
Mali,MLI,2022,83.03932,2808.5225,Africa,2023,2022,2022
Malta,MLT,2022,85.60805,57781.5,Europe,2023,2022,2022
Marshall Islands,MHL,2022,75.625175,6844.3345,Oceania,2023,2022,2022
Mauritania,MRT,2022,25.498924,6053.2617,Africa,2023,2022,2022
Mauritius,MUS,2022,55.88356,24788.766,Africa,2023,2022,2022
Mexico,MEX,2022,129.92001,21392.111,North America,2023,2022,2022
Micronesia (country),FSM,2022,26.411503,3813.3384,Oceania,2023,2022,2022
Moldova,MDA,2022,108.50324,15358.016,Europe,2023,2022,2022
Mongolia,MNG,2022,38.73081,15310.435,Asia,2023,2022,2022
Montenegro,MNE,2022,123.549194,25429.025,Europe,2023,2022,2022
Morocco,MAR,2022,116.55108,8666.079,Africa,2023,2022,2022
Mozambique,MOZ,2022,19.616396,1476.6656,Africa,2023,2022,2022
Myanmar,MMR,2022,41.523823,5350.4766,Asia,2023,2022,2022
Namibia,NAM,2022,57.69773,9953.098,Africa,2023,2022,2022
Nauru,NRU,2022,92.886894,12458.74,Oceania,2023,2022,2022
Nepal,NPL,2022,57.804653,4763.3877,Asia,2023,2022,2022
Netherlands,NLD,2022,169.6127,71324.04,Europe,2023,2022,2022
New Zealand,NZL,2022,88.5951,49618.523,Oceania,2023,2022,2022
Nicaragua,NIC,2022,51.18385,7277.8228,North America,2023,2022,2022
Niger,NER,2022,24.021242,1717.5189,Africa,2023,2022,2022
Nigeria,NGA,2022,73.11773,5552.838,Africa,2023,2022,2022
North Macedonia,MKD,2022,140.62865,22820.977,Europe,2023,2022,2022
Norway,NOR,2022,136.2664,91051.086,Europe,2023,2022,2022
Oman,OMN,2022,152.30698,39780.21,Asia,2023,2022,2022
Pakistan,PAK,2022,26.959633,5526.2793,Asia,2023,2022,2022
Panama,PAN,2022,160.81471,33833.027,North America,2023,2022,2022
Papua New Guinea,PNG,2022,213.1275,4125.493,Oceania,2023,2022,2022
Paraguay,PRY,2022,82.25602,15259.1455,South America,2023,2022,2022
Peru,PER,2022,135.7999,15559.821,South America,2023,2022,2022
Philippines,PHL,2022,88.886604,9457.104,Asia,2023,2022,2022
Poland,POL,2022,71.56186,43405.023,Europe,2023,2022,2022
Portugal,PRT,2022,135.74753,41070.86,Europe,2023,2022,2022
Qatar,QAT,2022,105.31824,114740.125,Asia,2023,2022,2022
Romania,ROU,2022,103.554184,39377.973,Europe,2023,2022,2022
Russia,RUS,2022,75.46808,38214.496,Europe,2023,2022,2022
Rwanda,RWA,2022,195.41261,2892.4597,Africa,2023,2022,2022
Saint Kitts and Nevis,KNA,2022,217.73967,29712.686,North America,2023,2022,2022
Saint Lucia,LCA,2022,133.58171,22962.281,North America,2023,2022,2022
Saint Vincent and the Grenadines,VCT,2022,212.528,16835.023,North America,2023,2022,2022
Samoa,WSM,2022,171.25543,5843.772,Oceania,2023,2022,2022
Sao Tome and Principe,STP,2022,206.4086,5632.1387,Africa,2023,2022,2022
Saudi Arabia,SAU,2022,112.43329,67178.59,Asia,2023,2022,2022
Senegal,SEN,2022,18.904657,4228.734,Africa,2023,2022,2022
Serbia,SRB,2022,173.67531,24633.07,Europe,2023,2022,2022
Seychelles,SYC,2022,147.97447,27978.178,Africa,2023,2022,2022
Sierra Leone,SLE,2022,31.223358,2937.3735,Africa,2023,2022,2022
Slovakia,SVK,2022,70.99172,38623.67,Europe,2023,2022,2022
Slovenia,SVN,2022,127.10636,47064.152,Europe,2023,2022,2022
Solomon Islands,SLB,2022,33.094383,2517.9255,Oceania,2023,2022,2022
Somalia,SOM,2022,15.1045685,1387.8137,Africa,2023,2022,2022
South Africa,ZAF,2022,36.736107,13777.192,Africa,2023,2022,2022
South Korea,KOR,2022,54.404957,49777.93,Asia,2023,2022,2022
Spain,ESP,2022,87.87159,46649.562,Europe,2023,2022,2022
Sri Lanka,LKA,2022,74.84224,13249.065,Asia,2023,2022,2022
Sudan,SDN,2022,59.827473,3132.0771,Africa,2023,2022,2022
Suriname,SUR,2022,85.50003,18742.588,South America,2023,2022,2022
Sweden,SWE,2022,104.80611,63215.438,Europe,2023,2022,2022
Switzerland,CHE,2022,124.463646,82777.3,Europe,2023,2022,2022
Syria,SYR,2022,85.59655,4454.8535,Asia,2023,2022,2022
Tajikistan,TJK,2022,36.48884,4213.7563,Asia,2023,2022,2022
Tanzania,TZA,2022,66.84206,3546.981,Africa,2023,2022,2022
Thailand,THA,2022,73.15094,20762.795,Asia,2023,2022,2022
Togo,TGO,2022,6.814374,2662.2593,Africa,2023,2022,2022
Tonga,TON,2022,94.162285,6901.7383,Oceania,2023,2022,2022
Trinidad and Tobago,TTO,2022,82.19582,30793.4,North America,2023,2022,2022
Tunisia,TUN,2022,116.66568,12702.453,Africa,2023,2022,2022
Turkey,TUR,2022,142.23792,32748.318,Asia,2023,2022,2022
Turkmenistan,TKM,2022,52.467606,17119.574,Asia,2023,2022,2022
Tuvalu,TUV,2022,104.67286,5498.1846,Oceania,2023,2022,2022
Uganda,UGA,2022,200.91151,2724.906,Africa,2023,2022,2022
Ukraine,UKR,2022,48.581684,13787.121,Europe,2023,2022,2022
United Arab Emirates,ARE,2022,76.90558,68867.83,Asia,2023,2022,2022
United Kingdom,GBR,2022,108.57186,52982.176,Europe,2023,2022,2022
United States,USA,2022,191.59264,72679.26,North America,2023,2022,2022
Upper-middle-income countries,,2022,106.41486,20030.756,,2022,2022,2022
Uruguay,URY,2022,105.199745,30804.703,South America,2023,2022,2022
Uzbekistan,UZB,2022,110.27859,9607.562,Asia,2023,2022,2022
Vanuatu,VUT,2022,75.55303,3222.836,Oceania,2023,2022,2022
Vietnam,VNM,2022,89.77419,12979.764,Asia,2023,2022,2022
World,OWID_WRL,2022,87.81766,20281.531,,2022,2022,2022
Zambia,ZMB,2022,4.986306,3585.1238,Africa,2023,2022,2022
Zimbabwe,ZWE,2022,16.199615,3323.1184,Africa,2023,2022,2022